City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,magong,23.5654,119.5863,28.19,89,72,4.93,TW,1691497122
83,fortaleza,-3.7227,-38.5247,29.07,61,40,7.72,BR,1691497122
84,college,64.8569,-147.8028,14.99,90,75,3.09,US,1691497122
85,kruisfontein,-34.0033,24.7314,17.16,74,32,8.67,ZA,1691497123
86,fort dodge,42.4975,-94.168,17.79,94,0,0.0,US,1691497017
87,port elizabeth,-33.918,25.5701,19.16,63,40,10.29,ZA,1691497118
88,dudinka,69.4058,86.1778,22.57,48,61,3.55,RU,1691497123
89,baturaja,-4.1333,104.1667,24.29,92,48,0.98,ID,1691497123
90,turuntayevo,52.2,107.6167,23.05,69,98,1.01,RU,1691497123
91,cidreira,-30.1811,-50.2056,16.23,56,68,6.51,BR,1691497123
92,mountain home,43.133,-115.6912,13.01,93,100,2.57,US,1691496885
93,dauphin,51.1494,-100.0502,13.08,94,40,3.09,CA,1691497124
94,luderitz,-26.6481,15.1594,23.65,42,0,8.75,NA,1691497124
95,utrik,11.2278,169.8474,28.29,77,82,6.0,MH,1691497124
96,kattivakkam,13.2167,80.3167,32.05,78,100,5.94,IN,1691497124
97,puerto ayacucho,5.6639,-67.6236,24.6,93,42,1.18,VE,1691497124
98,isafjordur,66.0755,-23.124,8.02,93,20,2.57,IS,1691497125
99,ad dilam,23.9915,47.1627,45.23,5,1,7.64,SA,1691497125
100,bijni,26.4959,90.703,26.5,94,94,2.76,IN,1691497125
101,asau,46.4333,26.4,19.6,61,96,2.02,RO,1691497125
102,ashland,40.8167,-82.2665,17.93,96,62,4.45,US,1691497125
103,papatowai,-46.5619,169.4708,4.56,84,100,4.58,NZ,1691497125
104,dalandzadgad,43.5708,104.425,26.94,32,100,3.7,MN,1691497125
105,ribeira grande,38.5167,-28.7,24.87,78,20,3.58,PT,1691497126
106,arraial do cabo,-22.9661,-42.0278,22.98,88,75,7.72,BR,1691497126
107,bethel,41.3712,-73.414,22.53,87,65,0.45,US,1691497126
108,sao joao da barra,-21.6403,-41.0511,25.05,68,0,9.73,BR,1691497126
109,wuyang,31.9925,116.2472,26.39,75,12,2.68,CN,1691497126
110,mhlume,-26.0333,31.85,26.47,21,0,1.79,SZ,1691497127
111,enewetak,11.3474,162.3373,28.62,79,87,6.18,MH,1691497127
112,pandan,14.0453,124.1694,28.78,78,37,2.61,PH,1691497127
113,fort st. john,56.2499,-120.8529,13.94,94,100,1.54,CA,1691497122
114,yemetsk,63.4721,41.7941,24.86,40,0,3.25,RU,1691497128
115,mili,6.0815,171.735,27.85,77,100,3.45,MH,1691497128
116,port mathurin,-19.6833,63.4167,22.78,71,9,10.51,MU,1691497128
117,sitka,57.0531,-135.33,14.94,88,100,2.57,US,1691497128
118,klyuchi,52.2667,79.1667,26.59,30,12,1.75,RU,1691497128
119,hobyo,5.3505,48.5268,26.72,71,68,14.26,SO,1691497128
120,kutaisi,42.2496,42.6997,32.43,58,0,4.63,GE,1691497129
121,haiku-pauwela,20.9219,-156.3051,25.02,66,0,9.77,US,1691497129
122,seaside,36.6111,-121.8516,13.34,94,100,2.24,US,1691497129
123,roma,43.2128,-75.4557,20.53,96,100,3.6,US,1691496884
124,luxeuil-les-bains,47.8171,6.365,21.85,52,75,4.12,FR,1691497129
125,whitehorse,60.7161,-135.0538,14.43,78,75,1.54,CA,1691496914
126,invercargill,-46.4,168.35,5.57,92,100,1.34,NZ,1691497129
127,karratha,-20.7377,116.8463,22.8,54,0,3.64,AU,1691497130
128,ingeniero jacobacci,-41.3427,-69.5448,1.64,62,42,0.99,AR,1691497130
129,tolanaro,-25.0319,46.9987,23.7,68,33,6.92,MG,1691497130
130,axim,4.8699,-2.2405,26.54,76,66,5.12,GH,1691497130
131,hinton,53.4001,-117.5857,12.33,95,100,1.96,CA,1691497130
132,bilajer,40.5681,50.0378,34.9,38,0,4.12,AZ,1691497130
133,port alfred,-33.5906,26.891,19.54,73,67,4.02,ZA,1691497130
134,gonzales,30.2385,-90.9201,28.38,98,10,0.0,US,1691496941
135,inongo,-1.95,18.2667,24.63,67,75,1.92,CD,1691497131
136,pedernales,18.0384,-71.744,29.34,70,13,0.4,DO,1691497131
137,puerto ayora,-0.7393,-90.3518,24.19,88,100,2.24,EC,1691497131
138,west island,-12.1568,96.8225,25.99,83,40,5.66,CC,1691497131
139,smithers,54.7804,-127.1743,13.18,94,100,2.06,CA,1691497131
140,saipan,15.1355,145.701,28.39,100,75,2.68,MP,1691497132
141,arriaga,16.2333,-93.9,25.13,90,21,2.56,MX,1691497132
142,bandundu,-3.3167,17.3667,36.83,28,72,1.04,CD,1691497132
143,kangding,30.0513,101.9603,17.69,98,89,1.78,CN,1691497132
144,san luis de la loma,17.2706,-100.8939,25.82,84,2,2.02,MX,1691497132
145,atar,20.5169,-13.0499,37.03,28,1,5.14,MR,1691497132
146,yarkovo,57.4028,67.0786,27.37,40,90,2.91,RU,1691497132
147,altai,46.3722,96.2583,23.82,24,93,5.11,MN,1691497133
148,east falmouth,41.5784,-70.5586,24.76,95,100,10.28,US,1691497133
149,labytnangi,66.6572,66.4183,21.06,53,97,5.16,RU,1691497133
150,nadym,65.5333,72.5167,21.14,62,34,10.24,RU,1691497133
151,ambon,-3.6954,128.1814,27.15,95,100,6.66,ID,1691497133
152,ust-nera,64.5667,143.2,10.17,60,60,2.56,RU,1691497133
153,svetlyy,54.675,20.1347,19.98,53,98,8.5,RU,1691497134
154,port saint john's,-31.6229,29.5448,20.65,74,2,8.24,ZA,1691497134
155,phongsali,21.6833,102.1058,17.48,100,100,1.03,LA,1691497134
156,kohat,33.582,71.4493,35.04,33,1,4.28,PK,1691497134
157,constantia,44.1833,28.65,19.38,76,96,7.16,RO,1691496845
158,metlili chaamba,32.2667,3.6333,38.52,10,0,2.06,DZ,1691497134
